Date,Time,Error Type,Error Detail
2018-02-12,1507,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-12,1603,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-12,1952,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-02-12,1953,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-02-13,0747,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-13,0748,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-13,0751,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-13,0751-2,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-13,0751-3,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-13,0752,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-13,0845,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-02-13,0929,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-02-16,1605,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-02-18,1600,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-18,1711,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-19,0915,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-02-19,0915-2,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-02-19,1133,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-02-19,1133-2,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-02-19,1133-3,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-02-19,1134,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-02-19,1144,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-02-19,1206,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-02-20,1017,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-02-20,1034,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-02-20,1050,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-20,1058,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-20,1111,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-20,1111-2,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-20,1112,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-20,1112-2,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-20,1112-3,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-20,1113,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-20,1113-2,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-20,1113-3,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-20,1114,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-20,1115,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-20,1115-2,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-20,1115-3,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-21,2236,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-02-21,2243,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-23,1416,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-02-26,0831,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-02-27,1140,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-02-27,1140-2,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-02-27,1141,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-02-27,1141-2,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-02-27,1247,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-02-27,1248,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-02-27,1248-2,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-02-27,1402,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-27,1618,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-02-28,0757,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-01,1711,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-03-02,1620,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-03-03,0838,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-03-06,1243,OA4MP OIDC authz endpoint error,no client identifier has been supplied. Have you registered this client with the service?
2018-03-06,1721,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-07,1420,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-03-08,0249,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-08,1331,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-03-08,1331-2,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-03-14,1500,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-14,1727,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-03-16,0200,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-03-16,0200-2,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-03-18,1911,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-03-19,0818,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-19,0933,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-03-19,2106,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-03-19,2108,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-03-20,0722,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-20,0932,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-20,1057,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-23,1217,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-03-23,1236,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-03-26,0719,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-03-26,1414,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-04-03,1032,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-04-03,1640,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-04,1615,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-04,1910,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-04-06,1039,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-06,1337,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-07,0958,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-08,1648,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-08,2018,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-08,2019,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-09,0007,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-09,0014,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-09,0014-2,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-09,0015,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-09,0015-2,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-09,0018,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-09,0018-2,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-09,0030,OA4MP OIDC authz endpoint error,Error parsing URI REDACTED
2018-04-09,0032,OA4MP OIDC authz endpoint error,Error parsing URI REDACTED
2018-04-09,0033,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-04-09,0034,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-04-09,0037,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-04-09,0047,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-04-09,0110,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-04-09,0113,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-04-09,0144,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-04-09,0205,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-04-09,0854,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-04-09,0855,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-04-09,1036,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-04-09,1037,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-04-09,1112,OA4MP OIDC authz endpoint error,Error parsing URI REDACTED
2018-04-10,0143,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-10,1027,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-11,2233,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-11,2235,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-11,2240,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-11,2252,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-11,2255,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-11,2255-2,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-12,1308,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-04-12,1309,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-04-12,1309-2,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-04-12,1310,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-04-12,1313,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-04-12,1316,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-04-12,1317,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-04-12,1318,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-04-12,1319,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-04-12,1337,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-04-12,1339,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-04-12,1345,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-04-12,1354,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-04-12,2037,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-12,2047,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-13,0929,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-15,1518,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-16,0305,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-16,0307,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-16,0307-2,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-16,0326,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-16,0329,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-16,0330,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-16,1458,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-04-16,1752,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-16,2121,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-16,2122,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-16,2130,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-16,2133,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-16,2147,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
