Date,Error Type,Error Detail
2018-04-10,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-11,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-12,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-04-12,Failure in /secure/getuser/,STATUS_EPTID_MISMATCH
2018-04-12,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-13,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-15,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-16,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-16,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-16,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-04-18,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-04-20,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-21,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-04-23,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-04-23,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-05-01,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-05-02,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-05-02,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-02,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-02,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-02,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-07,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-05-07,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-08,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-05-08,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
