Date,Shibboleth ErrorText
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-27,"Message was signed, but signature could not be verified."
2019-05-28,Invalid HTTP method (GET).
2019-05-28,Invalid HTTP method (GET).
2019-05-28,Invalid HTTP method (GET).
2019-05-28,Invalid HTTP method (GET).
2019-05-28,"Message expired, was issued too long ago."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-28,"Message was signed, but signature could not be verified."
2019-05-29,Invalid HTTP method (GET).
2019-05-31,Invalid HTTP method (GET).
2019-06-01,None of the configured SessionInitiators handled the request.
2019-06-03,None of the configured SessionInitiators handled the request.
2019-06-04,Invalid HTTP method (GET).
2019-06-06,Invalid HTTP method (GET).
2019-06-06,None of the configured SessionInitiators handled the request.
2019-06-06,Rejecting replayed message ID.
2019-06-06,SAML response reported an IdP error.
2019-06-07,Invalid HTTP method (GET).
2019-06-10,SAML response reported an IdP error.
